City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Abapo,BO,2021-05-26 23:08:41,-18.8333,-63.4667,67.84,65,77,1.54
238,Sisimiut,GL,2021-05-26 23:08:41,66.9395,-53.6735,49.59,53,97,5.53
239,Balabac,PH,2021-05-26 23:08:41,7.9868,117.0645,82.22,75,72,2.75
240,Guaruja,BR,2021-05-26 23:08:42,-23.9931,-46.2564,72.0,26,39,3.02
241,Vao,NC,2021-05-26 23:08:42,-22.6667,167.4833,71.78,70,7,10.25
242,Rawson,AR,2021-05-26 23:08:42,-43.3002,-65.1023,51.8,63,100,0.89
243,Talnakh,RU,2021-05-26 23:08:43,69.4865,88.3972,18.73,96,52,2.59
244,Saldanha,ZA,2021-05-26 23:08:43,-33.0117,17.9442,57.99,85,100,5.48
245,Araouane,ML,2021-05-26 23:08:43,18.9048,-3.5265,96.6,18,100,10.69
246,Prince Rupert,CA,2021-05-26 23:08:43,54.3161,-130.3201,48.61,82,100,6.29
247,Le Port,RE,2021-05-26 23:08:44,-20.9373,55.2919,69.8,83,18,2.75
248,Tulum,MX,2021-05-26 23:07:40,20.2167,-87.4667,85.98,65,46,6.82
249,San Pedro,PH,2021-05-26 23:08:44,14.35,121.0167,86.11,74,40,6.22
250,Olafsvik,IS,2021-05-26 23:08:45,64.8945,-23.7142,46.67,84,60,9.55
251,Wonthaggi,AU,2021-05-26 23:03:47,-38.6044,145.5913,54.19,75,69,19.55
252,Antofagasta,CL,2021-05-26 23:05:21,-23.65,-70.4,58.28,73,100,5.86
253,Kamenka,RU,2021-05-26 23:08:45,51.3223,42.7678,55.63,75,72,5.97
254,Deputatskiy,RU,2021-05-26 23:08:45,69.3,139.9,45.1,69,100,15.23
255,Xichang,CN,2021-05-26 23:08:46,27.8964,102.2634,57.49,80,99,2.51
256,Marsa Matruh,EG,2021-05-26 23:07:17,31.3525,27.2453,71.46,72,0,8.93
257,Vilhena,BR,2021-05-26 23:07:48,-12.7406,-60.1458,74.79,66,52,2.35
258,Henties Bay,NA,2021-05-26 23:08:46,-22.116,14.2845,61.86,67,0,7.7
259,Te Anau,NZ,2021-05-26 23:08:47,-45.4167,167.7167,46.87,79,100,4.9
260,Parkersburg,US,2021-05-26 23:03:53,39.2667,-81.5615,75.13,86,20,1.01
261,Ayr,GB,2021-05-26 23:08:47,55.4627,-4.6339,49.32,93,30,4.61
262,Lakes Entrance,AU,2021-05-26 23:08:47,-37.8811,147.981,54.18,67,79,18.75
263,Staraya Poltavka,RU,2021-05-26 23:08:48,50.4772,46.4814,57.65,68,62,11.63
264,Loa Janan,ID,2021-05-26 23:08:48,-0.583,117.095,75.67,96,48,1.1
265,Bezenchuk,RU,2021-05-26 23:08:48,52.982,49.4333,53.47,74,1,6.02
266,Ancud,CL,2021-05-26 23:08:48,-41.8697,-73.8203,57.42,94,100,20.8
267,Vargem Grande Do Sul,BR,2021-05-26 23:08:49,-21.8322,-46.8936,63.93,63,29,4.25
268,Alangulam,IN,2021-05-26 23:08:49,8.8667,77.5,76.06,88,100,12.53
