City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Pevek,RU,69.7008,170.3133,42.21,92,100,12.15,overcast clouds
315,San Isidro,PE,-12.1167,-77.05,66.25,93,90,1.99,overcast clouds
316,Phangnga,TH,8.4509,98.5298,84.9,91,100,2.91,overcast clouds
317,Makakilo City,US,21.3469,-158.0858,75.69,67,1,3.44,clear sky
318,Santarem,BR,-2.4431,-54.7083,86.13,79,20,10.36,few clouds
319,Volot,RU,57.9278,30.7025,65.34,70,48,4.76,scattered clouds
320,Sabang,ID,5.8933,95.3214,83.26,73,100,15.7,overcast clouds
321,Bulawayo,ZW,-20.15,28.5833,47.89,65,8,12.77,clear sky
322,Impfondo,CG,1.6381,18.0667,70.68,97,97,3.65,moderate rain
323,Koulikoro,ML,14.0,-7.75,109.11,9,14,12.33,few clouds
324,Yeniseysk,RU,58.4497,92.1703,44.38,61,65,5.5,broken clouds
325,Lasa,IT,46.6166,10.7002,63.34,79,62,1.9,broken clouds
326,Sept-Iles,CA,50.2001,-66.3821,53.26,96,100,3.0,overcast clouds
327,Yining,CN,29.0361,114.5636,64.69,78,12,2.44,few clouds
328,Tacuarembo,UY,-31.7333,-55.9833,66.99,87,100,13.27,moderate rain
329,Grand Forks,US,47.9417,-97.4337,84.13,53,75,9.22,broken clouds
330,Lorengau,PG,-2.0226,147.2712,80.29,80,74,4.07,broken clouds
331,Belmonte,BR,-15.8631,-38.8828,81.1,67,38,10.18,scattered clouds
332,Kurumkan,RU,54.3,110.3,65.79,36,42,1.95,scattered clouds
333,Klaksvik,FO,62.2266,-6.589,50.92,90,55,13.15,broken clouds
334,Banyo,CM,6.75,11.8167,68.92,76,99,0.51,overcast clouds
335,Sobolevo,RU,54.4299,31.8996,61.79,75,72,4.32,broken clouds
336,Magaria,NE,12.9983,8.9099,102.88,15,80,11.18,broken clouds
337,Mandan,US,46.8267,-100.8896,93.04,33,1,4.0,clear sky
338,Itarema,BR,-2.9248,-39.9167,87.21,51,0,13.78,clear sky
339,Bristol,US,41.8334,-71.1662,90.93,59,20,3.0,few clouds
340,Nanuque,BR,-17.8392,-40.3539,85.75,45,47,10.67,scattered clouds
341,Frontera,MX,26.9333,-101.45,87.33,45,20,2.91,few clouds
342,Nazareno,MX,25.3833,-103.4167,80.91,22,2,2.39,clear sky
343,Port Hedland,AU,-20.3167,118.5667,71.65,60,90,5.75,overcast clouds
344,Fairbanks,US,64.8378,-147.7164,58.91,61,1,3.44,clear sky
345,Tochio,JP,37.4667,139.0,58.55,85,100,3.38,overcast clouds
